Name,PD,HOMFLY
9_44,[[2;9;3;10];[3;16;4;17];[5;1;6;18];[6;12;7;11];[8;1;9;2];[10;14;11;13];[12;8;13;7];[15;4;16;5];[17;15;18;14]],(v^(-2)-2+ 3*v^2-v^4)+ (-2+ 3*v^2-v^4)*z^2+ v^2*z^4
9_45,[[2;9;3;10];[3;16;4;17];[5;1;6;18];[7;12;8;13];[8;1;9;2];[11;6;12;7];[13;10;14;11];[15;4;16;5];[17;15;18;14]],(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (2*v^(-6)-2*v^(-4)+ 2*v^(-2))*z^2+ (-v^(-4))*z^4
9_46,[[2;10;3;9];[3;14;4;15];[6;17;7;18];[8;11;9;12];[10;2;11;1];[13;4;14;5];[15;13;16;12];[16;7;17;8];[18;5;1;6]],(v^(-6)-v^(-4)-v^(-2)+ 2)+ (-v^(-4)-v^(-2))*z^2
9_47,[[1;15;2;14];[4;17;5;18];[6;16;7;15];[8;4;9;3];[10;5;11;6];[12;8;13;7];[13;3;14;2];[16;11;17;12];[18;10;1;9]],(1+ v^2-2*v^4+ v^6)+ (-2+ 4*v^2-3*v^4)*z^2+ (-1+ 4*v^2-v^4)*z^4+ v^2*z^6
9_48,[[1;10;2;11];[3;14;4;15];[6;17;7;18];[9;2;10;3];[11;9;12;8];[13;4;14;5];[15;13;16;12];[16;7;17;8];[18;5;1;6]],(-2*v^(-6)+ 3*v^(-4))+ (3*v^(-4)-v^(-2)+ 1)*z^2+ (-v^(-2))*z^4
9_49,[[1;15;2;14];[4;12;5;11];[6;16;7;15];[7;3;8;2];[10;18;11;17];[12;4;13;3];[13;9;14;8];[16;6;17;5];[18;10;1;9]],(4*v^6-3*v^8)+ (2*v^4+ 6*v^6-2*v^8)*z^2+ (v^4+ 2*v^6)*z^4
10_1,[[2;11;3;12];[4;20;5;19];[6;18;7;17];[8;16;9;15];[10;14;11;13];[12;1;13;2];[14;10;15;9];[16;8;17;7];[18;6;19;5];[20;4;1;3]],(v^(-2)-v^6+ v^8)+ (-1-v^2-v^4-v^6)*z^2
10_2,[[1;13;2;12];[3;14;4;15];[5;3;6;2];[7;17;8;16];[9;19;10;18];[11;1;12;20];[13;4;14;5];[15;7;16;6];[17;9;18;8];[19;11;20;10]],(4*v^4-4*v^6+ v^8)+ (10*v^4-14*v^6+ 6*v^8)*z^2+ (6*v^4-16*v^6+ 5*v^8)*z^4+ (v^4-7*v^6+ v^8)*z^6-v^6*z^8
10_3,[[2;10;3;9];[4;17;5;18];[6;15;7;16];[8;4;9;3];[10;2;11;1];[12;20;13;19];[14;7;15;8];[16;5;17;6];[18;14;19;13];[20;12;1;11]],(v^(-4)-v^2+ v^6)+ (-v^(-2)-2-2*v^2-v^4)*z^2
10_4,[[2;13;3;14];[4;11;5;12];[6;20;7;19];[8;18;9;17];[10;16;11;15];[12;1;13;2];[14;3;15;4];[16;10;17;9];[18;8;19;7];[20;6;1;5]],(v^(-4)-2*v^2+ 2*v^4)+ (v^(-4)-2*v^(-2)-2-3*v^2+ v^4)*z^2+ (-v^(-2)-1-v^2)*z^4
10_5,[[2;13;3;14];[4;17;5;18];[6;16;7;15];[8;6;9;5];[10;19;11;20];[12;1;13;2];[14;3;15;4];[16;8;17;7];[18;9;19;10];[20;11;1;12]],(-3*v^(-6)+ 5*v^(-4)-v^(-2))+ (-7*v^(-6)+ 17*v^(-4)-6*v^(-2))*z^2+ (-5*v^(-6)+ 17*v^(-4)-5*v^(-2))*z^4+ (-v^(-6)+ 7*v^(-4)-v^(-2))*z^6+ (v^(-4))*z^8
10_6,[[2;11;3;12];[4;16;5;15];[6;18;7;17];[8;20;9;19];[10;14;11;13];[12;1;13;2];[14;10;15;9];[16;6;17;5];[18;8;19;7];[20;4;1;3]],(3*v^2-2*v^4-v^6+ v^8)+ (4*v^2-4*v^4-4*v^6+ 3*v^8)*z^2+ (v^2-4*v^4-4*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_7,[[1;12;2;13];[3;15;4;14];[5;19;6;18];[7;17;8;16];[9;1;10;20];[11;2;12;3];[13;11;14;10];[15;9;16;8];[17;7;18;6];[19;5;20;4]],(1+ v^4-2*v^6+ v^8)+ (1-v^2-2*v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
